avg_dollar_vol,avg_volume_30d,catalyst,close,date,flagged,open,reason,ticker,volume
10942694.15541172,1424830.0,none,7.289999961853027,2026-04-29,True,7.400000095367432,Runaway Gap,ACDC,2149000
264920782.53982544,3473460.0,none,74.94000244140625,2026-05-04,True,75.0,Runaway Gap,ADM,5003400
233023021.66503906,602080.0,none,389.04998779296875,2026-05-04,True,394.989990234375,Runaway Gap,AEIS,994800
25948439.52166239,1709383.3333333333,none,13.779000282287598,2026-05-04,True,13.949999809265137,Runaway Gap,AGRO,2549000
26012035.01558304,1514970.0,none,16.15999984741211,2026-05-04,True,16.170000076293945,Runaway Gap,ALKT,2213600
40356866.924107864,1757703.3333333333,none,25.579999923706055,2026-05-04,True,25.850000381469727,Runaway Gap,ALMU,2307600
342419878.48205566,1149330.0,none,296.1099853515625,2026-05-04,True,298.0,Runaway Gap,ALNY,1590500
308902594.9478658,4353193.333333333,none,71.08999633789062,2026-05-04,True,72.52999877929688,Runaway Gap,AMKR,5723400
27107966.708278656,3713420.0,none,6.880000114440918,2026-05-04,True,7.139999866485596,Runaway Gap,ARDX,8096900
50080950.94468117,6936420.0,none,6.989999771118164,2026-05-04,True,7.010000228881836,Runaway Gap,ASAN,11660700
131480543.8348929,20416233.333333332,none,6.130000114440918,2026-05-04,True,6.159999847412109,Runaway Gap,AUR,34958100
98069239.0337626,1219463.3333333333,none,80.52999877929688,2026-05-04,True,80.91999816894531,Runaway Gap,AVT,1840300
175128762.27752686,782873.3333333334,none,206.52999877929688,2026-05-04,True,212.0,Runaway Gap,AXSM,2506700
92776315.13149261,16626580.0,none,5.420000076293945,2026-05-04,True,6.099999904632568,Runaway Gap,BB,54371300
9191317.372465134,1025816.6666666666,none,8.569999694824219,2026-05-04,True,8.649999618530273,Runaway Gap,BKKT,1395600
59188632.74765015,3409483.3333333335,none,17.200000762939453,2026-05-04,True,17.799999237060547,Runaway Gap,BRBR,6180800
11873505.130831402,1576826.6666666667,none,6.46999979019165,2026-05-04,True,6.570000171661377,Runaway Gap,CADL,2538600
144776481.66183472,3344340.0,none,42.189998626708984,2026-05-04,True,42.20000076293945,Runaway Gap,CART,6403200
70288389.56025442,2582233.3333333335,none,27.729999542236328,2026-05-04,True,27.940000534057617,Runaway Gap,CC,3615000
47743629.21498616,610766.6666666666,none,74.30000305175781,2026-05-04,True,77.81999969482422,Runaway Gap,CECO,1799200
133051041.67907715,917720.0,none,125.6500015258789,2026-05-04,True,142.11500549316406,Runaway Gap,CELC,4125400
7407928.274510702,616813.3333333334,none,11.789999961853027,2026-05-04,True,11.930000305175781,Runaway Gap,CEPT,1300200
12245103.98846944,798246.6666666666,none,13.430000305175781,2026-05-04,True,13.65999984741211,Runaway Gap,CGEM,2303100
93506604.3995285,1660863.3333333333,none,55.939998626708984,2026-05-04,True,56.08000183105469,Runaway Gap,CGNX,2421800
26391900.264291763,1934890.0,none,13.350000381469727,2026-05-04,True,13.380000114440918,Runaway Gap,CLBT,3421800
6643615.991973877,821213.3333333334,none,6.139999866485596,2026-05-04,True,7.46999979019165,Runaway Gap,CLNN,22202000
252280330.59288025,2917210.0,none,87.11000061035156,2026-05-04,True,87.51000213623047,Runaway Gap,CLX,6208800
21362222.5,1499103.3333333333,none,13.729999542236328,2026-05-04,True,14.170000076293945,Runaway Gap,CMBT,2090700
42903373.529650375,4506656.666666667,none,9.010000228881836,2026-05-04,True,9.170000076293945,Runaway Gap,CMPS,6390100
57198295.48025131,2098250.0,none,27.6200008392334,2026-05-04,True,27.690000534057617,Runaway Gap,CNK,3263100
22064713.496106464,2814376.6666666665,none,2.311000108718872,2026-05-04,True,9.1899995803833,Runaway Gap,CNSP,83544500
53774272.11833954,1151730.0,none,45.59000015258789,2026-05-04,True,46.20000076293945,Runaway Gap,COHU,1710900
1687184260.7029216,14115153.333333334,none,99.69999694824219,2026-05-04,True,107.12999725341797,Runaway Gap,CRCL,32606500
198605329.01927948,15383836.666666666,none,12.4399995803833,2026-05-04,True,13.125,Runaway Gap,CRML,24660500
19940815.04922867,1439770.0,none,14.109999656677246,2026-05-04,True,14.130000114440918,Runaway Gap,CWK,2016400
683823806.4477539,4661693.333333333,none,140.52999877929688,2026-05-04,True,141.52499389648438,Runaway Gap,DDOG,6723800
8338845.1006650925,2111100.0,none,3.759999990463257,2026-05-04,True,3.8299999237060547,Runaway Gap,DGXX,4976600
163007093.97880554,2270610.0,none,69.16999816894531,2026-05-04,True,70.0999984741211,Runaway Gap,DINO,3965900
35830640.90639751,613433.3333333334,none,57.459999084472656,2026-05-04,True,57.58000183105469,Runaway Gap,DLB,1135300
99967105.18798828,648800.0,none,151.64999389648438,2026-05-04,True,151.6699981689453,Runaway Gap,DVA,875900
98978814.83083089,2568876.6666666665,none,34.709999084472656,2026-05-04,True,35.20000076293945,Runaway Gap,DXYZ,4715100
640659597.8297424,5859870.0,none,104.06999969482422,2026-05-04,True,109.13999938964844,Runaway Gap,EBAY,20481100
76651306.08032227,507860.0,none,149.13999938964844,2026-05-04,True,149.5500030517578,Runaway Gap,ECG,681500
29071119.41251119,1401693.3333333333,none,21.18000030517578,2026-05-04,True,21.25,Runaway Gap,EFOR,2060000
366604255.9159342,2454336.6666666665,none,144.6199951171875,2026-04-29,True,146.57000732421875,Runaway Gap,ENTG,3629400
33585948.63702774,1825323.3333333333,none,20.1299991607666,2026-05-04,True,20.209999084472656,Runaway Gap,EQPT,2434100
343405816.02856314,17101883.333333332,none,19.940000534057617,2026-05-04,True,20.049999237060547,Runaway Gap,ET,34115200
982287064.4769287,2325270.0,none,425.54998779296875,2026-05-04,True,426.2300109863281,Runaway Gap,ETN,3298500
58246644.522463486,2550203.3333333335,none,22.290000915527344,2026-05-04,True,22.5,Runaway Gap,EXTR,3339100
8147260.738334656,538840.0,none,14.130000114440918,2026-05-04,True,14.244999885559082,Runaway Gap,FLGT,1035500
502395389.45617676,699910.0,none,706.530029296875,2026-05-04,True,718.780029296875,Runaway Gap,FN,1090700
447048275.3425599,2114803.3333333335,none,211.7100067138672,2026-05-04,True,213.0,Runaway Gap,FSLR,2927600
14352385.833333332,1171623.3333333333,none,12.180000305175781,2026-05-04,True,12.1899995803833,Runaway Gap,FTRE,2157800
36403273.26138814,3897566.6666666665,none,5.929999828338623,2026-05-04,True,9.305000305175781,Runaway Gap,GBTG,81224800
240321219.16666666,3547176.6666666665,none,64.91000366210938,2026-05-04,True,68.83999633789062,Runaway Gap,GFS,5842300
6550923.818670908,838786.6666666666,none,8.180000305175781,2026-05-04,True,8.25,Runaway Gap,GSIT,1459300
37624439.79695638,769573.3333333334,none,45.43000030517578,2026-05-04,True,45.689998626708984,Runaway Gap,HNGE,1725100
8013838.0120420465,1088836.6666666667,none,7.900000095367432,2026-05-04,True,9.199999809265137,Runaway Gap,HTCO,3351800
53187762.131245926,762876.6666666666,none,64.41999816894531,2026-05-04,True,68.11000061035156,Runaway Gap,ICHR,2453000
81875540.0384903,2100450.0,none,37.65999984741211,2026-05-04,True,38.970001220703125,Runaway Gap,INDV,4510000
52621356.546414696,959543.3333333334,none,56.70000076293945,2026-05-04,True,56.72999954223633,Runaway Gap,INSP,1626200
66246291.83653831,4688343.333333333,none,14.390000343322754,2026-05-12,True,14.5,Runaway Gap,KLAR,6226500
24631857.422765095,799216.6666666666,none,30.809999465942383,2026-05-12,True,31.09000015258789,Runaway Gap,KMPR,1170800
91283485.646108,618703.3333333334,none,152.25999450683594,2026-05-12,True,153.02999877929688,Runaway Gap,LAMR,1026200
140448816.09898883,1093923.3333333333,none,127.68000030517578,2026-05-12,True,128.9600067138672,Runaway Gap,LDOS,2307600
73129019.03897604,2723613.3333333335,none,28.100000381469727,2026-05-12,True,28.1200008392334,Runaway Gap,LKQ,4075900
63660395.24349213,1814203.3333333333,none,34.77000045776367,2026-05-12,True,34.83000183105469,Runaway Gap,LNC,2417000
161211977.3003133,2220856.6666666665,none,72.47000122070312,2026-05-12,True,72.5,Runaway Gap,LNT,3458900
560495480.6658427,2496416.6666666665,none,226.05999755859375,2026-05-12,True,228.9600067138672,Runaway Gap,LOW,3269900
76107187.94822693,1344650.0,none,53.130001068115234,2026-05-12,True,53.79999923706055,Runaway Gap,LQDA,3928800
70046439.13284302,801263.3333333334,none,87.33999633789062,2026-05-12,True,87.41999816894531,Runaway Gap,LRN,1286800
96783805.89090984,2879613.3333333335,none,32.34000015258789,2026-05-12,True,32.47999954223633,Runaway Gap,LTH,5151300
17497849.16656494,2840560.0,none,6.099999904632568,2026-05-12,True,6.559999942779541,Runaway Gap,LZ,7895500
71169761.63078308,4688390.0,none,14.989999771118164,2026-05-12,True,15.149999618530273,Runaway Gap,MAT,6142600
500920841.447347,1622573.3333333333,none,294.6499938964844,2026-05-12,True,307.739990234375,Runaway Gap,MDB,2654000
851814977.0068359,539540.0,none,1557.300048828125,2026-05-12,True,1562.75,Runaway Gap,MELI,1163500
161756937.68892926,4383656.666666667,none,37.29999923706055,2026-05-12,True,37.310001373291016,Runaway Gap,MGM,6011400
64699009.505208336,1233066.6666666667,none,52.189998626708984,2026-05-12,True,52.34000015258789,Runaway Gap,MIAX,2000000
46965031.16760254,767653.3333333334,none,61.52000045776367,2026-05-12,True,61.95000076293945,Runaway Gap,MMS,1057000
345213963.1542969,594080.0,none,584.6300048828125,2026-05-12,True,587.3099975585938,Runaway Gap,MSCI,850700
389515256.4782715,995210.0,none,392.1700134277344,2026-05-12,True,396.1000061035156,Runaway Gap,MSI,1663400
41682312.13874817,909300.0,none,44.83000183105469,2026-05-12,True,46.0,Runaway Gap,MWH,2590200
48849857.8666687,1256103.3333333333,none,39.59000015258789,2026-05-12,True,39.630001068115234,Runaway Gap,NAMS,2148900
39859531.78195953,886950.0,none,43.810001373291016,2026-05-12,True,44.279998779296875,Runaway Gap,NATL,2604700
57764208.53090286,2419950.0,none,23.6299991607666,2026-05-12,True,24.0,Runaway Gap,NOG,4032900
12749986.352809269,1384363.3333333333,none,9.309999465942383,2026-05-12,True,9.350000381469727,Runaway Gap,NOMD,2882900
103751789.55785117,5051206.666666667,none,19.770000457763672,2026-05-12,True,19.850000381469727,Runaway Gap,NOV,7476900
6090685.003576279,735590.0,none,8.420000076293945,2026-05-12,True,8.4399995803833,Runaway Gap,NRDS,1304000
21571368.688964844,564400.0,none,40.66999816894531,2026-05-12,True,40.91999816894531,Runaway Gap,NTCT,958100
20266328.911940254,1030316.6666666666,none,18.8799991607666,2026-05-12,True,19.510000228881836,Runaway Gap,NVRI,1643800
240109047.16026306,1915203.3333333333,none,126.26000213623047,2026-05-12,True,127.80000305175781,Runaway Gap,NXT,5680400
7779041.500886281,869166.6666666666,none,8.930000305175781,2026-05-12,True,8.9399995803833,Runaway Gap,OIS,2792000
65803528.81254832,3359036.6666666665,none,19.829999923706055,2026-05-12,True,19.899999618530273,Runaway Gap,OPCH,6260400
106784548.08441162,846153.3333333334,none,123.62999725341797,2026-05-12,True,123.95999908447266,Runaway Gap,ORA,1236100
477653392.1536255,5200930.0,none,91.3499984741211,2026-05-12,True,91.66000366210938,Runaway Gap,ORLY,7238800
45703957.832336426,1913100.0,none,24.399999618530273,2026-05-12,True,24.510000228881836,Runaway Gap,OTEX,3788100
42151596.468671165,1323856.6666666667,none,32.2400016784668,2026-05-12,True,32.400001525878906,Runaway Gap,OUT,1966800
225619236.99264526,3883960.0,none,59.09000015258789,2026-05-12,True,59.90999984741211,Runaway Gap,OVV,6993700
33008400.849024452,804886.6666666666,none,31.899999618530273,2026-05-12,True,38.599998474121094,Runaway Gap,PACS,3624900
4222166.567773819,488676.6666666667,none,7.690000057220459,2026-05-12,True,8.229999542236328,Runaway Gap,PANL,1575400
64105931.08769735,946073.3333333334,none,68.44999694824219,2026-05-12,True,68.76000213623047,Runaway Gap,PB,1265500
126334941.91801706,2552736.6666666665,none,48.400001525878906,2026-05-12,True,49.540000915527344,Runaway Gap,PLNT,6091000
923619847.611084,4940993.333333333,none,182.11000061035156,2026-05-12,True,183.7899932861328,Runaway Gap,PM,7866900
77913955.0,758286.6666666666,none,100.52999877929688,2026-05-12,True,101.27999877929688,Runaway Gap,POST,1202500
41040280.69728851,1430473.3333333333,none,26.450000762939453,2026-05-12,True,26.5,Runaway Gap,PRCT,2978600
321958977.9374186,1034306.6666666666,none,311.54998779296875,2026-05-12,True,312.010009765625,Runaway Gap,PSA,1676700
99881123.39726765,1331393.3333333333,none,76.8499984741211,2026-05-12,True,76.87000274658203,Runaway Gap,PTCT,2212200
32046241.71295166,940600.0,none,33.380001068115234,2026-05-12,True,33.4900016784668,Runaway Gap,PZZA,1422600
285177148.233846,1693853.3333333333,none,153.24000549316406,2026-05-12,True,161.0500030517578,Runaway Gap,Q,4434400
66380913.50280762,1969760.0,none,32.630001068115234,2026-05-12,True,33.45000076293945,Runaway Gap,QGEN,3286200
8722328.893464407,730513.3333333334,none,12.739999771118164,2026-05-12,True,12.770000457763672,Runaway Gap,QNST,1095200
223969875.7897218,19012723.333333332,none,10.180000305175781,2026-05-12,True,12.699999809265137,Runaway Gap,QUBT,141078800
83944490.18348694,1418940.0,none,49.560001373291016,2026-05-12,True,58.880001068115234,Runaway Gap,RAL,8048600
98308451.71478271,4120220.0,none,24.280000686645508,2026-05-12,True,24.329999923706055,Runaway Gap,RELY,7180700
274011823.6500104,10092516.666666666,none,26.829999923706055,2026-05-12,True,26.889999389648438,Runaway Gap,RF,13386800
121214227.70517986,1067026.6666666667,none,115.91000366210938,2026-05-12,True,116.29000091552734,Runaway Gap,RGEN,1462700
38797469.290771484,799453.3333333334,none,48.34000015258789,2026-05-12,True,48.689998626708984,Runaway Gap,RLI,1228700
25465307.018763226,643063.3333333334,none,39.77000045776367,2026-05-12,True,39.83000183105469,Runaway Gap,RNST,976700
146205646.230367,4974673.333333333,none,28.959999084472656,2026-05-12,True,29.010000228881836,Runaway Gap,ROIV,8437000
496851361.1204529,2282590.0,none,214.5500030517578,2026-05-12,True,214.8000030517578,Runaway Gap,ROST,3257400
4856116.688741048,729146.6666666666,none,6.489999771118164,2026-05-12,True,6.519999980926514,Runaway Gap,RWAY,961400
136686768.95254773,21593486.666666668,none,4.690000057220459,2026-05-12,True,4.789999961853027,Runaway Gap,RXT,61329600
82081765.02955756,2604943.3333333335,none,31.160001754760742,2026-05-12,True,31.760000228881836,Runaway Gap,RYAN,3417300
44663453.735059105,2195843.3333333335,none,20.309999465942383,2026-05-12,True,20.34000015258789,Runaway Gap,RYN,2871400
