avg_dollar_vol,catalyst,date,flagged,high,prev_high,prev_high_rsi,reason,rsi,ticker
89500819.62620418,none,2026-05-04,True,30.200000762939453,28.56999969482422,57.72594509003604,Bearish Divergence,55.97884114754158,ACHC
36880418.14018504,none,2026-04-29,True,31.040000915527344,30.700000762939453,83.73333835178079,Bearish Divergence,79.67213617092594,ADEA
100925612.5,none,2026-05-04,True,17.850000381469727,17.809999465942383,95.37480158404227,Bearish Divergence,93.90244434306808,AESI
17136863.683201473,none,2026-05-04,True,13.430000305175781,13.399999618530273,64.42951280402744,Bearish Divergence,55.29410356744959,AHCO
13167574887.830402,none,2026-05-04,True,276.1000061035156,273.8800048828125,82.20669162401299,Bearish Divergence,80.48718312311563,AMZN
57701865.5810674,none,2026-05-04,True,39.70000076293945,39.400001525878906,73.92116825516791,Bearish Divergence,73.64482142959004,AROC
2832487.1294021606,none,2026-05-04,True,8.489999771118164,7.679999828338623,72.57143978197358,Bearish Divergence,68.42106070361663,AURA
35928511.49865468,none,2026-05-04,True,47.0,46.15999984741211,95.5345534438431,Bearish Divergence,95.40422997622885,BAND
92776315.13149261,none,2026-05-04,True,6.239999771118164,5.789999961853027,90.27236581605054,Bearish Divergence,76.74418015190193,BB
5498970.263786316,none,2026-05-04,True,9.319999694824219,9.260000228881836,71.34500347449564,Bearish Divergence,67.76314014544775,BBDC
3094721266.389974,none,2026-05-04,True,302.989990234375,296.5,82.8360641642108,Bearish Divergence,75.90621983876453,BE
70288389.56025442,none,2026-05-04,True,28.010000228881836,27.760000228881836,78.53658457159791,Bearish Divergence,75.32163359146114,CC
17289477.48453776,none,2026-05-04,True,33.15999984741211,32.83000183105469,79.04956338576707,Bearish Divergence,78.71235548937604,CEVA
135495617.5,none,2026-05-04,True,149.94000244140625,148.4199981689453,80.76411976830387,Bearish Divergence,71.50192252821765,CHRD
9784261.69541359,none,2026-05-04,True,10.204999923706055,10.180000305175781,93.35441677029571,Bearish Divergence,80.82190492315218,CTOS
640659597.8297424,none,2026-05-04,True,111.37999725341797,107.33999633789062,78.99195959864443,Bearish Divergence,65.30683557189252,EBAY
76651306.08032227,none,2026-05-04,True,152.52999877929688,149.8800048828125,68.2090039610758,Bearish Divergence,66.11393032469685,ECG
17503997.528076172,none,2026-05-04,True,28.34000015258789,27.260000228881836,83.08723003992884,Bearish Divergence,82.7160312941025,EFXT
240321219.16666666,none,2026-05-04,True,69.30000305175781,65.05000305175781,96.33028753725262,Bearish Divergence,90.05800268798725,GFS
7527571811.11857,none,2026-05-04,True,384.17999267578125,383.3900146484375,86.49789484747475,Bearish Divergence,80.7008960099123,GOOG
11123307475.0,none,2026-05-04,True,387.3800048828125,386.760009765625,86.8559824120287,Bearish Divergence,82.19494800728081,GOOGL
182991878.20718384,none,2026-04-29,True,223.84500122070312,217.16000366210938,80.5786278099937,Bearish Divergence,74.21751123484361,IEX
6361191.098642349,none,2026-05-04,True,6.400000095367432,6.369999885559082,81.40096604447095,Bearish Divergence,77.16346397698389,IHRT
188226331.5246582,none,2026-05-04,True,208.52999877929688,207.47999572753906,74.34161780689803,Bearish Divergence,58.19288951371863,JAZZ
72157777.9155721,none,2026-04-29,True,67.69999694824219,67.31999969482422,85.12773141475459,Bearish Divergence,83.18044728017072,KGS
21376170.72479884,none,2026-04-29,True,14.289999961853027,13.479999542236328,69.57606423914832,Bearish Divergence,63.39712989616584,KODK
75464334.73978677,none,2026-05-04,True,141.57000732421875,140.86000061035156,76.93985334293785,Bearish Divergence,69.01627524909287,LAMR
230030008.1742859,none,2026-05-04,True,127.94999694824219,126.3499984741211,83.125970606865,Bearish Divergence,65.87779805315856,LSCC
135611519.90571022,none,2026-05-04,True,18.280000686645508,17.280000686645508,66.3978497207971,Bearish Divergence,62.28492610501181,LWLG
302875374.0673828,none,2026-05-04,True,299.82000732421875,294.0,85.2076377359144,Bearish Divergence,64.66243326697588,MTSI
26142280906.594646,none,2026-05-04,True,592.7999877929688,545.9099731445312,77.963143390193,Bearish Divergence,77.43276440660163,MU
2797961188.160095,none,2026-05-04,True,179.39999389648438,168.7100067138672,81.82694472219751,Bearish Divergence,58.14947594740907,NBIS
32981286836.29135,none,2026-05-08,True,217.8000030517578,216.8300018310547,88.79712496260625,Bearish Divergence,60.34645869853311,NVDA
43602346.303863525,none,2026-05-08,True,53.91999816894531,53.0,68.81396679812559,Bearish Divergence,61.99120059725821,PLAB
79157298.94805908,none,2026-05-08,True,81.58999633789062,78.94999694824219,79.06183875732887,Bearish Divergence,64.23066594753527,POWI
39902061.57493591,none,2026-05-08,True,32.02000045776367,31.920000076293945,80.43478830170858,Bearish Divergence,60.76672613258935,PRM
42832218.078816734,none,2026-05-08,True,38.5,38.2647246968073,70.91498409111185,Bearish Divergence,69.2202319604441,RDN
479051210.74886316,none,2026-05-08,True,24.469999313354492,24.139999389648438,72.72726484566954,Bearish Divergence,72.56234670394285,RIOT
2580875539.5375566,none,2026-05-08,True,105.62000274658203,99.58000183105469,83.13098972268293,Bearish Divergence,60.59563194755744,RKLB
74064799.88077798,none,2026-05-08,True,151.0,141.89999389648438,78.48252160717578,Bearish Divergence,62.97410415478162,ROAD
44229205.0,none,2026-05-08,True,23.3700008392334,23.290000915527344,70.54986037069757,Bearish Divergence,59.750668973148514,RXO
26145972847.798256,none,2026-05-08,True,1564.0,1439.699951171875,82.5060647665619,Bearish Divergence,81.29554323347,SNDK
670667077.8457642,none,2026-05-08,True,59.400001525878906,58.0099983215332,92.12963535298412,Bearish Divergence,83.63054953979426,STM
3424243115.290528,none,2026-05-08,True,802.1300048828125,792.010009765625,91.37620333564902,Bearish Divergence,88.04073727820379,STX
9856311.808667183,none,2026-05-08,True,5.199999809265137,5.199999809265137,71.42871740026362,Bearish Divergence,55.55567329292587,TALK
35538088.33353679,none,2026-05-08,True,49.119998931884766,47.75592202645689,70.9999732725183,Bearish Divergence,58.566993371817,TDS
91075644.03030396,none,2026-05-08,True,44.650001525878906,44.0,70.78044814607561,Bearish Divergence,67.3020541637693,TGTX
