date,flagged,high,prev_high,prev_high_rsi,reason,rsi,ticker
2026-04-24,True,12.9399995803833,12.869999885559082,70.70707719398858,Bearish Divergence,60.468754936011415,AHCO
2026-04-24,True,27.0,24.8799991607666,87.85424460314991,Bearish Divergence,86.91384402009933,AIP
2026-04-24,True,420.5,413.82000732421875,79.6881948426049,Bearish Divergence,78.4313869385739,AMAT
2026-04-24,True,45.970001220703125,45.220001220703125,97.28642776823358,Bearish Divergence,96.92942242393224,AOSL
2026-04-24,True,242.2030029296875,241.60000610351562,87.87374072427738,Bearish Divergence,87.67416039741373,BE
2026-04-24,True,69.86000061035156,67.0,85.62315785277937,Bearish Divergence,71.55834808385404,BKR
2026-04-24,True,420.6300048828125,412.4599914550781,89.46707517482551,Bearish Divergence,88.2885930241241,CLS
2026-04-24,True,663.3800048828125,663.010009765625,82.51823485474361,Bearish Divergence,82.2026724831021,CMI
2026-04-24,True,175.77999877929688,173.83999633789062,89.76354602209004,Bearish Divergence,89.40930012149673,CRUS
2026-04-24,True,91.91000366210938,88.08999633789062,87.3567666745156,Bearish Divergence,87.26434078239022,FLEX
2026-04-24,True,14.920000076293945,14.90999984741211,78.21010590235194,Bearish Divergence,61.97183571550419,FLG
2026-04-24,True,734.7899780273438,732.1199951171875,80.53255858063484,Bearish Divergence,77.03731157424839,FN
2026-04-24,True,14.5,14.479999542236328,71.42850655307399,Bearish Divergence,69.23054351254795,FOLD
2026-04-24,True,159.08999633789062,152.0,90.162914395302,Bearish Divergence,90.11080476053073,FORM
2026-04-24,True,179.0800018310547,176.75,70.22816562006915,Bearish Divergence,68.78078594988558,GLW
2026-04-24,True,38.790000915527344,37.869998931884766,72.66839019800845,Bearish Divergence,66.86696293618549,HP
2026-04-24,True,79.80000305175781,79.06999969482422,61.44616487203221,Bearish Divergence,51.70204940728406,INSW
2026-04-24,True,85.22000122070312,70.33000183105469,89.98414271196503,Bearish Divergence,88.00969599554088,INTC
2026-04-24,True,6.960000038146973,6.960000038146973,79.9242370877391,Bearish Divergence,71.53700374321728,INV
2026-04-24,True,352.7799987792969,348.4330139160156,83.36170003477432,Bearish Divergence,82.69185177178475,KEYS
2026-04-24,True,510.6499938964844,509.2300109863281,58.12492939638617,Bearish Divergence,53.06157263643674,LIN
2026-04-24,True,294.0,289.9800109863281,78.46676369608865,Bearish Divergence,76.27410336283306,MTSI
2026-04-24,True,43.25,43.09000015258789,77.67147590533705,Bearish Divergence,74.24023442459868,NBHC
2026-04-24,True,52.790000915527344,51.59000015258789,81.58609767655719,Bearish Divergence,80.18702498816685,PLAB
2026-04-24,True,1002.0900268554688,981.0609741210938,78.94924130214471,Bearish Divergence,78.566898231551,SNDK
2026-04-24,True,227.83999633789062,225.1699981689453,88.39354361824665,Bearish Divergence,83.98806907585745,SNX
2026-04-24,True,23.850000381469727,23.65999984741211,76.80182211992415,Bearish Divergence,68.56288057764141,SPNT
2026-04-24,True,422.1099853515625,404.8299865722656,90.21126576877403,Bearish Divergence,89.9661226772241,TER
2026-04-24,True,84.43000030517578,81.13999938964844,80.76675208222102,Bearish Divergence,80.4168256124687,UCTT
2026-04-24,True,28.479999542236328,28.469999313354492,91.14358906234881,Bearish Divergence,91.12833219210039,VSH
2026-04-24,True,28.290000915527344,27.155000686645508,76.39889498465561,Bearish Divergence,72.26277376171323,WATT
2026-04-24,True,19.0,18.979999542236328,97.84948074295016,Bearish Divergence,97.28683345371316,WSR
2026-04-24,True,21.600000381469727,21.600000381469727,83.26810803396089,Bearish Divergence,82.05666868175861,WULF
