avg_dollar_vol,catalyst,date,flagged,low,prev_low,prev_low_rsi,reason,rsi,ticker
169296818.76678467,none,2026-05-04,True,36.66999816894531,37.220001220703125,23.207751027489493,Bullish Divergence,27.717392205741618,AMCR
213923748.80142212,none,2026-05-04,True,57.52000045776367,58.18000030517578,33.87097629690639,Bullish Divergence,37.51412461036765,BBY
188504509.07058716,none,2026-05-04,True,57.189998626708984,57.459999084472656,21.57315210458235,Bullish Divergence,22.832700965738496,BRO
3564417.9554541907,none,2026-05-04,True,5.340000152587891,5.559999942779541,21.839080369771978,Bullish Divergence,41.02564555400942,BYRN
18708400.892448425,none,2026-05-04,True,14.819999694824219,15.926861533250923,6.2808181092588455,Bullish Divergence,28.167018956994752,CCOI
68504482.5,none,2026-05-04,True,27.229999542236328,27.639999389648438,15.352896669469999,Bullish Divergence,32.88770742093621,LKQ
46723913.63529205,none,2026-05-04,True,60.79999923706055,61.310001373291016,29.599629803710513,Bullish Divergence,29.642014151332475,MMSI
10902271.64396286,none,2026-05-04,True,9.319999694824219,9.385000228881836,44.5255570993799,Bullish Divergence,47.65623311977482,NOMD
164868565.56437173,none,2026-05-04,True,153.8300018310547,154.69875065254138,29.094693180677822,Bullish Divergence,35.74096620252202,TXRH
48206753.918816246,none,2026-05-04,True,6.519999980926514,6.606997426910571,29.752066945075953,Bullish Divergence,43.548380894418266,WEN
375390416.216685,none,2026-05-04,True,112.0999984741211,112.79937024702298,31.544445176904887,Bullish Divergence,32.19207039373056,ZTS
