avg_volume_30d,close,date,flagged,open,reason,ticker,volume
600460.0,86.30999755859375,2026-04-24,True,84.88999938964844,Runaway Gap,ABCB,1156100
3368193.3333333335,404.07000732421875,2026-04-24,True,399.57000732421875,Runaway Gap,ADI,4512300
591093.3333333334,387.6499938964844,2026-04-24,True,387.239990234375,Runaway Gap,AEIS,982800
515343.3333333333,25.0,2026-04-24,True,26.719999313354492,Runaway Gap,AIP,1364800
36909006.666666664,336.760009765625,2026-04-24,True,347.80999755859375,Runaway Gap,AMD,81429300
3573600.0,77.76000213623047,2026-04-24,True,78.0999984741211,Runaway Gap,AMKR,5311100
613820.0,43.11000061035156,2026-04-24,True,44.45000076293945,Runaway Gap,AOSL,1661300
22568763.333333332,37.470001220703125,2026-04-24,True,34.97999954223633,Runaway Gap,APLD,35261200
750710.0,21.610000610351562,2026-04-24,True,22.145000457763672,Runaway Gap,APPN,1071700
2320626.6666666665,10.210000038146973,2026-04-24,True,10.899999618530273,Runaway Gap,ATEC,4389400
1797176.6666666667,6.5,2026-04-24,True,8.600000381469727,Runaway Gap,ATOM,28201400
1091350.0,37.40999984741211,2026-04-24,True,39.25,Runaway Gap,AXGN,1508200
3268510.0,19.200000762939453,2026-04-24,True,18.75,Runaway Gap,BANC,4607400
9617096.666666666,66.45999908447266,2026-04-24,True,68.94000244140625,Runaway Gap,BKR,15502500
1091500.0,42.54999923706055,2026-04-24,True,43.380001068115234,Runaway Gap,CALX,1693100
3052773.3333333335,24.40999984741211,2026-04-24,True,26.610000610351562,Runaway Gap,CC,4351700
2237520.0,320.0799865722656,2026-04-24,True,332.8900146484375,Runaway Gap,CDNS,3312700
994263.3333333334,99.54000091552734,2026-04-24,True,101.55000305175781,Runaway Gap,CHDN,2769800
20287550.0,12.545000076293945,2026-04-24,True,12.760000228881836,Runaway Gap,CLSK,26942100
4226373.333333333,9.71500015258789,2026-04-24,True,9.579999923706055,Runaway Gap,CMPS,10154800
3086826.6666666665,48.810001373291016,2026-04-24,True,49.5,Runaway Gap,CNM,4211600
892190.0,47.34000015258789,2026-04-24,True,46.93000030517578,Runaway Gap,COHU,3704400
1310180.0,27.649999618530273,2026-04-24,True,27.3700008392334,Runaway Gap,CPRX,1970200
788436.6666666666,8.96500015258789,2026-04-24,True,8.739999771118164,Runaway Gap,CTOS,1089800
641450.0,87.95999908447266,2026-04-24,True,88.95999908447266,Runaway Gap,DCI,1092100
554340.0,104.75,2026-04-24,True,104.4000015258789,Runaway Gap,DIOD,1018600
2989010.0,23.520000457763672,2026-04-24,True,24.010000228881836,Runaway Gap,DOCS,5696600
912346.6666666666,369.19000244140625,2026-04-24,True,367.8299865722656,Runaway Gap,DPZ,1379700
6650766.666666667,13.640000343322754,2026-04-24,True,13.760000228881836,Runaway Gap,DX,8836600
3049646.6666666665,32.0,2026-04-24,True,32.06999969482422,Runaway Gap,EGO,4295200
2349943.3333333335,153.9199981689453,2026-04-24,True,155.97999572753906,Runaway Gap,ENTG,4337400
7421203.333333333,4.090000152587891,2026-04-24,True,5.039999961853027,Runaway Gap,ENVB,41879400
23710386.666666668,7.0,2026-04-24,True,7.670000076293945,Runaway Gap,EOSE,34800300
879556.6666666666,11.0,2026-04-24,True,11.279999732971191,Runaway Gap,ERII,1678900
2739696.6666666665,38.290000915527344,2026-04-24,True,40.34000015258789,Runaway Gap,ESI,5414300
5032270.0,82.5,2026-04-24,True,84.1500015258789,Runaway Gap,EW,11816700
944366.6666666666,30.790000915527344,2026-04-24,True,30.579999923706055,Runaway Gap,FFBC,1513800
2854510.0,16.299999237060547,2026-04-24,True,16.510000228881836,Runaway Gap,FIGS,5380400
3269923.3333333335,14.489999771118164,2026-04-24,True,14.489999771118164,Runaway Gap,FOLD,5285300
1965806.6666666667,88.56999969482422,2026-04-24,True,88.5999984741211,Runaway Gap,FWONK,4195100
6425690.0,280.6099853515625,2026-04-24,True,284.6000061035156,Runaway Gap,GE,9669100
2503073.3333333335,1161.02001953125,2026-04-24,True,1149.18994140625,Runaway Gap,GEV,3631000
